Name,Types,Stats
Raichu,Electric,hp:60|atk:90|def:55|spa:90|spd:80|spe:110
Sandshrew,Ground,hp:50|atk:75|def:85|spa:20|spd:30|spe:40
Sandslash,Ground,hp:75|atk:100|def:110|spa:45|spd:55|spe:65
Nidorina,Poison,hp:70|atk:62|def:67|spa:55|spd:55|spe:56
Nidoqueen,Poison|Ground,hp:90|atk:92|def:87|spa:75|spd:85|spe:76
Nidorino,Poison,hp:61|atk:72|def:57|spa:55|spd:55|spe:65
Nidoking,Poison|Ground,hp:81|atk:102|def:77|spa:85|spd:75|spe:85
Clefairy,Fairy,hp:70|atk:45|def:48|spa:60|spd:65|spe:35
Clefable,Fairy,hp:95|atk:70|def:73|spa:95|spd:90|spe:60
Vulpix,Fire,hp:38|atk:41|def:40|spa:50|spd:65|spe:65
Ninetales,Fire,hp:73|atk:76|def:75|spa:81|spd:100|spe:100
Jigglypuff,Normal|Fairy,hp:115|atk:45|def:20|spa:45|spd:25|spe:20
Wigglytuff,Normal|Fairy,hp:140|atk:70|def:45|spa:85|spd:50|spe:45
Zubat,Poison|Flying,hp:40|atk:45|def:35|spa:30|spd:40|spe:55
Golbat,Poison|Flying,hp:75|atk:80|def:70|spa:65|spd:75|spe:90
Oddish,Grass|Poison,hp:45|atk:50|def:55|spa:75|spd:65|spe:30
Gloom,Grass|Poison,hp:60|atk:65|def:70|spa:85|spd:75|spe:40
Vileplume,Grass|Poison,hp:75|atk:80|def:85|spa:110|spd:90|spe:50
Paras,Bug|Grass,hp:35|atk:70|def:55|spa:45|spd:55|spe:25
Parasect,Bug|Grass,hp:60|atk:95|def:80|spa:60|spd:80|spe:30
Venonat,Bug|Poison,hp:60|atk:55|def:50|spa:40|spd:55|spe:45
Venomoth,Bug|Poison,hp:70|atk:65|def:60|spa:90|spd:75|spe:90
Diglett,Ground,hp:10|atk:55|def:25|spa:35|spd:45|spe:95
Dugtrio,Ground,hp:35|atk:100|def:50|spa:50|spd:70|spe:120
Meowth,Normal,hp:40|atk:45|def:35|spa:40|spd:40|spe:90
Persian,Normal,hp:65|atk:70|def:60|spa:65|spd:65|spe:115
Psyduck,Water,hp:50|atk:52|def:48|spa:65|spd:50|spe:55
Golduck,Water,hp:80|atk:82|def:78|spa:95|spd:80|spe:85
Mankey,Fighting,hp:40|atk:80|def:35|spa:35|spd:45|spe:70
Primeape,Fighting,hp:65|atk:105|def:60|spa:60|spd:70|spe:95
Growlithe,Fire,hp:55|atk:70|def:45|spa:70|spd:50|spe:60
Arcanine,Fire,hp:90|atk:110|def:80|spa:100|spd:80|spe:95
Poliwag,Water,hp:40|atk:50|def:40|spa:40|spd:40|spe:90
Poliwhirl,Water,hp:65|atk:65|def:65|spa:50|spd:50|spe:90
Poliwrath,Water|Fighting,hp:90|atk:95|def:95|spa:70|spd:90|spe:70
Abra,Psychic,hp:25|atk:20|def:15|spa:105|spd:55|spe:90
Kadabra,Psychic,hp:40|atk:35|def:30|spa:120|spd:70|spe:105
Alakazam,Psychic,hp:55|atk:50|def:45|spa:135|spd:95|spe:120
Machop,Fighting,hp:70|atk:80|def:50|spa:35|spd:35|spe:35
Machoke,Fighting,hp:80|atk:100|def:70|spa:50|spd:60|spe:45
Machamp,Fighting,hp:90|atk:130|def:80|spa:65|spd:85|spe:55
Bellsprout,Grass|Poison,hp:50|atk:75|def:35|spa:70|spd:30|spe:40
Weepinbell,Grass|Poison,hp:65|atk:90|def:50|spa:85|spd:45|spe:55
Victreebel,Grass|Poison,hp:80|atk:105|def:65|spa:100|spd:70|spe:70
Tentacool,Water|Poison,hp:40|atk:40|def:35|spa:50|spd:100|spe:70
Tentacruel,Water|Poison,hp:80|atk:70|def:65|spa:80|spd:120|spe:100
Geodude,Rock|Ground,hp:40|atk:80|def:100|spa:30|spd:30|spe:20  
Graveler,Rock|Ground,hp:55|atk:95|def:115|spa:45|spd:45|spe:35
Golem,Rock|Ground,hp:80|atk:120|def:130|spa:55|spd:65|spe:45
Ponyta,Fire,hp:50|atk:85|def:55|spa:65|spd:65|spe:90
Rapidash,Fire,hp:65|atk:100|def:70|spa:80|spd:80|spe:105
Slowpoke,Water|Psychic,hp:90|atk:65|def:65|spa:40|spd:40|spe:15
Slowbro,Water|Psychic,hp:95|atk:75|def:110|spa:100|spd:80|spe:30
Magnemite,Electric|Steel,hp:25|atk:35|def:70|spa:95|spd:55|spe:45
Magneton,Electric|Steel,hp:50|atk:60|def:95|spa:120|spd:70|spe:70
Doduo,Normal|Flying,hp:35|atk:85|def:45|spa:35|spd:35|spe:75
Dodrio,Normal|Flying,hp:60|atk:110|def:70|spa:60|spd:60|spe:110
Seel,Water,hp:65|atk:45|def:55|spa:45|spd:70|spe:45
Dewgong,Water|Ice,hp:90|atk:70|def:80|spa:70|spd:95|spe:70
Grimer,Poison,hp:80|atk:80|def:50|spa:40|spd:50|spe:25
Muk,Poison,hp:105|atk:105|def:75|spa:65|spd:100|spe:50
Shellder,Water,hp:30|atk:65|def:100|spa:45|spd:25|spe:40
Cloyster,Water|Ice,hp:50|atk:95|def:180|spa:85|spd:45|spe:70
Gastly,Ghost|Poison,hp:30|atk:35|def:30|spa:100|spd:35|spe:80
Haunter,Ghost|Poison,hp:45|atk:50|def:45|spa:115|spd:55|spe:95
Gengar,Ghost|Poison,hp:60|atk:65|def:60|spa:130|spd:75|spe:110
Onix,Rock|Ground,hp:35|atk:45|def:160|spa:30|spd:45|spe:70
Drowzee,Psychic,hp:60|atk:48|def:45|spa:43|spd:90|spe:42
Hypno,Psychic,hp:85|atk:73|def:70|spa:73|spd:115|spe:67
Krabby,Water,hp:30|atk:105|def:90|spa:25|spd:25|spe:50
Kingler,Water,hp:55|atk:130|def:115|spa:50|spd:50|spe:75
Voltorb,Electric,hp:40|atk:30|def:50|spa:55|spd:55|spe:100
Electrode,Electric,hp:60|atk:50|def:70|spa:80|spd:80|spe:150
Exeggcute,Grass|Psychic,hp:60|atk:40|def:80|spa:60|spd:45|spe:40
Exeggutor,Grass|Psychic,hp:95|atk:95|def:85|spa:125|spd:75|spe:55
Cubone,Ground,hp:50|atk:50|def:95|spa:40|spd:50|spe:35
Marowak,Ground,hp:60|atk:80|def:110|spa:50|spd:80|spe:45
Hitmonlee,Fighting,hp:50|atk:120|def:53|spa:35|spd:110|spe:87
Hitmonchan,Fighting,hp:50|atk:105|def:79|spa:35|spd:110|spe:76
Lickitung,Normal,hp:90|atk:55|def:75|spa:60|spd:75|spe:30
Koffing,Poison,hp:40|atk:65|def:95|spa:60|spd:45|spe:35
Weezing,Poison,hp:65|atk:90|def:120|spa:85|spd:70|spe:60
Rhyhorn,Ground|Rock,hp:80|atk:85|def:95|spa:30|spd:30|spe:25
Rhydon,Ground|Rock,hp:105|atk:130|def:120|spa:45|spd:45|spe:40
Chansey,Normal,hp:250|atk:5|def:5|spa:35|spd:105|spe:50
Tangela,Grass,hp:65|atk:55|def:115|spa:100|spd:40|spe:60
Kangaskhan,Normal,hp:105|atk:95|def:80|spa:40|spd:80|spe:90
Horsea,Water,hp:30|atk:40|def:70|spa:70|spd:25|spe:60
Seadra,Water,hp:55|atk:65|def:95|spa:95|spd:45|spe:85
Goldeen,Water,hp:45|atk:67|def:60|spa:35|spd:50|spe:63
Seaking,Water,hp:80|atk:92|def:65|spa:65|spd:80|spe:68
Staryu,Water,hp:30|atk:45|def:55|spa:70|spd:55|spe:85
Starmie,Water|Psychic,hp:60|atk:75|def:85|spa:100|spd:85|spe:115
Scyther,Bug|Flying,hp:70|atk:110|def:80|spa:55|spd:80|spe:105
Jynx,Ice|Psychic,hp:65|atk:50|def:35|spa:115|spd:95|spe:95
Electabuzz,Electric,hp:65|atk:83|def:57|spa:95|spd:85|spe:105
Magmar,Fire,hp:65|atk:95|def:57|spa:100|spd:85|spe:93
Pinsir,Bug,hp:65|atk:125|def:100|spa:55|spd:70|spe:85
Tauros,Normal,hp:75|atk:100|def:95|spa:40|spd:70|spe:110
Magikarp,Water,hp:20|atk:10|def:55|spa:15|spd:20|spe:80
Gyarados,Water|Flying,hp:95|atk:125|def:79|spa:60|spd:100|spe:81
Lapras,Water|Ice,hp:130|atk:85|def:80|spa:85|spd:95|spe:60
Ditto,Normal,hp:48|atk:48|def:48|spa:48|spd:48|spe:48
Eevee,Normal,hp:55|atk:55|def:50|spa:45|spd:65|spe:55
Vaporeon,Water,hp:130|atk:65|def:60|spa:110|spd:95|spe:65
Jolteon,Electric,hp:65|atk:65|def:60|spa:110|spd:95|spe:130
Flareon,Fire,hp:65|atk:130|def:60|spa:95|spd:110|spe:65
Porygon,Normal,hp:65|atk:60|def:70|spa:85|spd:75|spe:40
Omanyte,Rock|Water,hp:35|atk:40|def:100|spa:90|spd:55|spe:35
Omastar,Rock|Water,hp:70|atk:60|def:125|spa:115|spd:70|spe:55
Kabuto,Rock|Water,hp:30|atk:80|def:90|spa:55|spd:45|spe:55
Kabutops,Rock|Water,hp:60|atk:115|def:105|spa:65|spd:70|spe:80
Aerodactyl,Rock|Flying,hp:80|atk:105|def:65|spa:60|spd:75|spe:130
Snorlax,Normal,hp:160|atk:110|def:65|spa:65|spd:110|spe:30
Articuno,Ice|Flying,hp:90|atk:85|def:100|spa:95|spd:125|spe:85
Zapdos,Electric|Flying,hp:90|atk:90|def:85|spa:125|spd:90|spe:100
Moltres,Fire|Flying,hp:90|atk:100|def:90|spa:125|spd:85|spe:90
Dratini,Dragon,hp:41|atk:64|def:45|spa:50|spd:50|spe:50
Dragonair,Dragon,hp:61|atk:84|def:65|spa:70|spd:70|spe:70
Dragonite,Dragon|Flying,hp:91|atk:134|def:95|spa:100|spd:100|spe:80
Mewtwo,Psychic,hp:106|atk:110|def:90|spa:154|spd:90|spe:130
Mew,Psychic,hp:100|atk:100|def:100|spa:100|spd:100|spe:100
Chikorita,Grass,hp:45|atk:49|def:65|spa:49|spd:65|spe:45
Bayleef,Grass,hp:60|atk:62|def:80|spa:63|spd:80|spe:60
Meganium,Grass,hp:80|atk:82|def:100|spa:83|spd:100|spe:80
Cyndaquil,Fire,hp:39|atk:52|def:43|spa:60|spd:50|spe:65
Quilava,Fire,hp:58|atk:64|def:58|spa:80|spd:65|spe:80
Typhlosion,Fire,hp:78|atk:84|def:78|spa:109|spd:85|spe:100
Totodile,Water,hp:50|atk:65|def:64|spa:44|spd:48|spe:43
Croconaw,Water,hp:65|atk:80|def:80|spa:59|spd:63|spe:58
Feraligatr,Water,hp:85|atk:105|def:100|spa:79|spd:83|spe:78
Sentret,Normal,hp:35|atk:46|def:34|spa:35|spd:45|spe:20
Furret,Normal,hp:85|atk:76|def:64|spa:45|spd:55|spe:90
Hoothoot,Normal|Flying,hp:60|atk:30|def:30|spa:36|spd:56|spe:50
Noctowl,Normal|Flying,hp:100|atk:50|def:50|spa:86|spd:96|spe:70
Ledyba,Bug|Flying,hp:40|atk:20|def:30|spa:40|spd:80|spe:55
Ledian,Bug|Flying,hp:55|atk:35|def:50|spa:55|spd:110|spe:85
Spinarak,Bug|Poison,hp:40|atk:60|def:40|spa:40|spd:40|spe:30
Ariados,Bug|Poison,hp:70|atk:90|def:70|spa:60|spd:70|spe:40
Crobat,Poison|Flying,hp:85|atk:90|def:80|spa:70|spd:80|spe:130
Chinchou,Water|Electric,hp:75|atk:38|def:38|spa:56|spd:56|spe:67
Lanturn,Water|Electric,hp:125|atk:58|def:58|spa:76|spd:76|spe:67
Pichu,Electric,hp:20|atk:40|def:15|spa:35|spd:35|spe:60
Cleffa,Fairy,hp:50|atk:25|def:28|spa:45|spd:55|spe:15
Igglybuff,Normal|Fairy,hp:90|atk:30|def:15|spa:40|spd:20|spe:15
Togepi,Fairy,hp:35|atk:20|def:65|spa:40|spd:65|spe:20
Togetic,Fairy|Flying,hp:55|atk:40|def:85|spa:80|spd:105|spe:40
Natu,Psychic|Flying,hp:40|atk:50|def:45|spa:70|spd:45|spe:70
Xatu,Psychic|Flying,hp:65|atk:75|def:70|spa:95|spd:70|spe:95
Mareep,Electric,hp:55|atk:40|def:40|spa:65|spd:45|spe:35
Flaaffy,Electric,hp:70|atk:55|def:55|spa:80|spd:60|spe:45
Ampharos,Electric,hp:90|atk:75|def:85|spa:115|spd:90|spe:55
Bellossom,Grass,hp:75|atk:80|def:95|spa:90|spd:100|spe:50
Marill,Water|Fairy,hp:70|atk:20|def:50|spa:20|spd:50|spe:40
Azumarill,Water|Fairy,hp:100|atk:50|def:80|spa:60|spd:80|spe:50
Sudowoodo,Rock,hp:70|atk:100|def:115|spa:30|spd:65|spe:30
Politoed,Water,hp:90|atk:75|def:75|spa:90|spd:100|spe:70
Hoppip,Grass|Flying,hp:35|atk:35|def:40|spa:35|spd:55|spe:50
Skiploom,Grass|Flying,hp:55|atk:45|def:50|spa:45|spd:65|spe:80
Jumpluff,Grass|Flying,hp:75|atk:55|def:70|spa:55|spd:95|spe:110
Aipom,Normal,hp:55|atk:70|def:55|spa:40|spd:55|spe:85
Sunkern,Grass,hp:30|atk:30|def:30|spa:30|spd:30|spe:30
Sunflora,Grass,hp:75|atk:75|def:55|spa:105|spd:85|spe:30
Yanma,Bug|Flying,hp:65|atk:65|def:45|spa:75|spd:45|spe:95
Wooper,Water|Ground,hp:55|atk:45|def:45|spa:25|spd:25|spe:15
Quagsire,Water|Ground,hp:95|atk:85|def:85|spa:65|spd:65|spe:35
Espeon,Psychic,hp:65|atk:65|def:60|spa:130|spd:95|spe:110
Umbreon,Dark,hp:95|atk:65|def:110|spa:60|spd:130|spe:65
Murkrow,Dark|Flying,hp:60|atk:85|def:42|spa:85|spd:42|spe:91
Slowking,Water|Psychic,hp:95|atk:75|def:80|spa:100|spd:110|spe:30
Misdreavus,Ghost,hp:60|atk:60|def:60|spa:85|spd:85|spe:85
Unown,Psychic,hp:48|atk:72|def:48|spa:72|spd:48|spe:48
Wobbuffet,Psychic,hp:190|atk:33|def:58|spa:33|spd:58|spe:33
Girafarig,Normal|Psychic,hp:70|atk:80|def:65|spa:90|spd:65|spe:85
Pineco,Bug,hp:50|atk:65|def:90|spa:35|spd:35|spe:15
Forretress,Bug|Steel,hp:75|atk:90|def:140|spa:60|spd:60|spe:40
Dunsparce,Normal,hp:100|atk:70|def:70|spa:65|spd:65|spe:45
Gligar,Ground|Flying,hp:65|atk:75|def:105|spa:35|spd:65|spe:85
Steelix,Steel|Ground,hp:75|atk:85|def:200|spa:55|spd:65|spe:30
Snubbull,Fairy,hp:60|atk:80|def:50|spa:40|spd:40|spe:30
Granbull,Fairy,hp:90|atk:120|def:75|spa:60|spd:60|spe:45
Qwilfish,Water|Poison,hp:65|atk:95|def:85|spa:55|spd:55|spe:85
Scizor,Bug|Steel,hp:70|atk:130|def:100|spa:55|spd:80|spe:65
Shuckle,Bug|Rock,hp:20|atk:10|def:230|spa:10|spd:230|spe:5
Heracross,Bug|Fighting,hp:80|atk:125|def:75|spa:40|spd:95|spe:85
Sneasel,Dark|Ice,hp:55|atk:95|def:55|spa:35|spd:75|spe:115
Teddiursa,Normal,hp:60|atk:80|def:50|spa:50|spd:50|spe:40
Ursaring,Normal,hp:90|atk:130|def:75|spa:75|spd:75|spe:55
Slugma,Fire,hp:40|atk:40|def:40|spa:70|spd:40|spe:20
Magcargo,Fire|Rock,hp:60|atk:50|def:120|spa:90|spd:80|spe:30
Swinub,Ice|Ground,hp:50|atk:50|def:40|spa:30|spd:30|spe:50
Piloswine,Ice|Ground,hp:100|atk:100|def:80|spa:60|spd:60|spe:50
Corsola,Water|Rock,hp:65|atk:55|def:95|spa:65|spd:95|spe:35
Remoraid,Water,hp:35|atk:65|def:35|spa:65|spd:35|spe:65
Octillery,Water,hp:75|atk:105|def:75|spa:105|spd:75|spe:45
Delibird,Ice|Flying,hp:45|atk:55|def:45|spa:65|spd:45|spe:75
Mantine,Water|Flying,hp:85|atk:40|def:70|spa:80|spd:140|spe:70
Skarmory,Steel|Flying,hp:65|atk:80|def:140|spa:40|spd:70|spe:70
Houndour,Dark|Fire,hp:45|atk:60|def:30|spa:80|spd:50|spe:65
Houndoom,Dark|Fire,hp:75|atk:90|def:50|spa:110|spd:80|spe:95
Kingdra,Water|Dragon,hp:75|atk:95|def:95|spa:95|spd:95|spe:85
Phanpy,Ground,hp:90|atk:60|def:60|spa:40|spd:40|spe:40
Donphan,Ground,hp:90|atk:120|def:120|spa:60|spd:60|spe:50
Porygon2,Normal,hp:85|atk:80|def:90|spa:105|spd:95|spe:60
Stantler,Normal,hp:73|atk:95|def:62|spa:85|spd:65|spe:85
Smeargle,Normal,hp:55|atk:20|def:35|spa:20|spd:45|spe:75
Tyrogue,Fighting,hp:35|atk:35|def:35|spa:35|spd:35|spe:35
Hitmontop,Fighting,hp:50|atk:95|def:95|spa:35|spd:110|spe:70
Smoochum,Ice|Psychic,hp:45|atk:30|def:15|spa:85|spd:65|spe:65
Elekid,Electric,hp:45|atk:63|def:37|spa:65|spd:55|spe:95
Magby,Fire,hp:45|atk:75|def:37|spa:70|spd:55|spe:83
Miltank,Normal,hp:95|atk:80|def:105|spa:40|spd:70|spe:100
Blissey,Normal,hp:255|atk:10|def:10|spa:75|spd:135|spe:55
Raikou,Electric,hp:90|atk:85|def:75|spa:115|spd:100|spe:115
Entei,Fire,hp:115|atk:115|def:85|spa:90|spd:75|spe:100
Suicune,Water,hp:100|atk:75|def:115|spa:90|spd:115|spe:85
Larvitar,Rock|Ground,hp:50|atk:64|def:50|spa:45|spd:50|spe:41
Pupitar,Rock|Ground,hp:70|atk:84|def:70|spa:65|spd:70|spe:51
Tyranitar,Rock|Dark,hp:100|atk:134|def:110|spa:95|spd:100|spe:61
Lugia,Psychic|Flying,hp:106|atk:90|def:130|spa:90|spd:154|spe:110
Celebi,Psychic|Grass,hp:100|atk:100|def:100|spa:100|spd:100|spe:100
Treecko,Grass,hp:40|atk:45|def:35|spa:65|spd:55|spe:70
Grovyle,Grass,hp:50|atk:65|def:45|spa:85|spd:65|spe:95
Sceptile,Grass,hp:70|atk:85|def:65|spa:105|spd:85|spe:120
Torchic,Fire,hp:45|atk:60|def:40|spa:70|spd:50|spe:45
Combusken,Fire|Fighting,hp:60|atk:85|def:60|spa:85|spd:60|spe:55
Blaziken,Fire|Fighting,hp:80|atk:120|def:70|spa:110|spd:70|spe:80
Mudkip,Water,hp:50|atk:70|def:50|spa:50|spd:50|spe:40
Marshtomp,Water|Ground,hp:70|atk:85|def:70|spa:60|spd:70|spe:50
Swampert,Water|Ground,hp:100|atk:110|def:90|spa:85|spd:90|spe:60
Poochyena,Dark,hp:35|atk:55|def:35|spa:30|spd:30|spe:35
Mightyena,Dark,hp:70|atk:90|def:70|spa:60|spd:60|spe:70
Zigzagoon,Normal,hp:38|atk:30|def:41|spa:30|spd:41|spe:60
Linoone,Normal,hp:78|atk:70|def:61|spa:50|spd:61|spe:100
Wurmple,Bug,hp:45|atk:45|def:35|spa:20|spd:30|spe:20
Silcoon,Bug,hp:50|atk:35|def:55|spa:25|spd:25|spe:15
Beautifly,Bug|Flying,hp:60|atk:70|def:50|spa:100|spd:50|spe:65
Cascoon,Bug,hp:50|atk:35|def:55|spa:25|spd:25|spe:15
Dustox,Bug|Poison,hp:60|atk:50|def:70|spa:50|spd:90|spe:65
Lotad,Water|Grass,hp:40|atk:30|def:30|spa:40|spd:50|spe:30
Lombre,Water|Grass,hp:60|atk:50|def:50|spa:60|spd:70|spe:50
Ludicolo,Water|Grass,hp:80|atk:70|def:70|spa:90|spd:100|spe:70
Seedot,Grass,hp:40|atk:40|def:50|spa:30|spd:30|spe:30
Nuzleaf,Grass|Dark,hp:70|atk:70|def:40|spa:60|spd:40|spe:60
Shiftry,Grass|Dark,hp:90|atk:100|def:60|spa:90|spd:60|spe:80
Taillow,Normal|Flying,hp:40|atk:55|def:30|spa:30|spd:30|spe:85
Swellow,Normal|Flying,hp:60|atk:85|def:60|spa:75|spd:50|spe:125
Wingull,Water|Flying,hp:40|atk:30|def:30|spa:55|spd:30|spe:85
Pelipper,Water|Flying,hp:60|atk:50|def:100|spa:95|spd:70|spe:65
Ralts,Psychic|Fairy,hp:28|atk:25|def:25|spa:45|spd:35|spe:40
Kirlia,Psychic|Fairy,hp:38|atk:35|def:35|spa:65|spd:55|spe:50
Gardevoir,Psychic|Fairy,hp:68|atk:65|def:65|spa:125|spd:115|spe:80
Surskit,Bug|Water,hp:40|atk:30|def:32|spa:50|spd:52|spe:65
Masquerain,Bug|Flying,hp:70|atk:60|def:62|spa:100|spd:82|spe:80
Shroomish,Grass,hp:60|atk:40|def:60|spa:40|spd:60|spe:35
Breloom,Grass|Fighting,hp:60|atk:130|def:80|spa:60|spd:60|spe:70
Slakoth,Normal,hp:60|atk:60|def:60|spa:35|spd:35|spe:30
Vigoroth,Normal,hp:80|atk:80|def:80|spa:55|spd:55|spe:90
Slaking,Normal,hp:150|atk:160|def:100|spa:95|spd:65|spe:100
Nincada,Bug|Ground,hp:31|atk:45|def:90|spa:30|spd:30|spe:40
Ninjask,Bug|Flying,hp:61|atk:90|def:45|spa:50|spd:50|spe:160
Shedinja,Bug|Ghost,hp:1|atk:90|def:45|spa:30|spd:30|spe:40
Whismur,Normal,hp:64|atk:51|def:23|spa:51|spd:23|spe:28
Loudred,Normal,hp:84|atk:71|def:43|spa:71|spd:43|spe:48
Exploud,Normal,hp:104|atk:91|def:63|spa:91|spd:73|spe:68
Makuhita,Fighting,hp:72|atk:60|def:30|spa:20|spd:30|spe:25
Hariyama,Fighting,hp:144|atk:120|def:60|spa:40|spd:60|spe:50
Azurill,Normal|Fairy,hp:50|atk:20|def:40|spa:20|spd:40|spe:20
Nosepass,Rock,hp:30|atk:45|def:135|spa:45|spd:90|spe:30
Skitty,Normal,hp:50|atk:45|def:45|spa:35|spd:35|spe:50
Delcatty,Normal,hp:70|atk:65|def:65|spa:55|spd:55|spe:90
Sableye,Dark|Ghost,hp:50|atk:75|def:75|spa:65|spd:65|spe:50
Mawile,Steel|Fairy,hp:50|atk:85|def:85|spa:55|spd:55|spe:50
Aron,Steel|Rock,hp:50|atk:70|def:100|spa:40|spd:40|spe:30
Lairon,Steel|Rock,hp:60|atk:90|def:140|spa:50|spd:50|spe:40
Aggron,Steel|Rock,hp:70|atk:110|def:180|spa:60|spd:60|spe:50
Meditite,Fighting|Psychic,hp:30|atk:40|def:55|spa:40|spd:55|spe:60
Medicham,Fighting|Psychic,hp:60|atk:60|def:75|spa:60|spd:75|spe:80
Electrike,Electric,hp:40|atk:45|def:40|spa:65|spd:40|spe:65
Manectric,Electric,hp:70|atk:75|def:60|spa:105|spd:60|spe:105
Plusle,Electric,hp:60|atk:50|def:40|spa:85|spd:75|spe:95
Minun,Electric,hp:60|atk:40|def:50|spa:75|spd:85|spe:95
Volbeat,Bug,hp:65|atk:73|def:75|spa:47|spd:85|spe:85
Illumise,Bug,hp:65|atk:47|def:75|spa:73|spd:85|spe:85
Roselia,Grass|Poison,hp:50|atk:60|def:45|spa:100|spd:80|spe:65
Gulpin,Poison,hp:70|atk:43|def:53|spa:43|spd:53|spe:40
Swalot,Poison,hp:100|atk:73|def:83|spa:73|spd:83|spe:55
Carvanha,Water|Dark,hp:45|atk:90|def:20|spa:65|spd:20|spe:65
Sharpedo,Water|Dark,hp:70|atk:120|def:40|spa:95|spd:40|spe:95
Wailmer,Water,hp:130|atk:70|def:35|spa:70|spd:35|spe:60
Wailord,Water,hp:170|atk:90|def:45|spa:90|spd:45|spe:60
Numel,Fire|Ground,hp:60|atk:60|def:40|spa:65|spd:45|spe:35
Camerupt,Fire|Ground,hp:70|atk:100|def:70|spa:105|spd:75|spe:40
Torkoal,Fire,hp:70|atk:85|def:140|spa:85|spd:70|spe:20
Spoink,Psychic,hp:60|atk:25|def:35|spa:70|spd:80|spe:60
Grumpig,Psychic,hp:80|atk:45|def:65|spa:90|spd:110|spe:80
Spinda,Normal,hp:60|atk:60|def:60|spa:60|spd:60|spe:60
Trapinch,Ground,hp:45|atk:100|def:45|spa:45|spd:45|spe:10
Vibrava,Ground|Dragon,hp:50|atk:70|def:50|spa:50|spd:50|spe:70
Flygon,Ground|Dragon,hp:80|atk:100|def:80|spa:80|spd:80|spe:100
Cacnea,Grass,hp:50|atk:85|def:40|spa:85|spd:40|spe:35
Cacturne,Grass|Dark,hp:70|atk:115|def:60|spa:115|spd:60|spe:55
Swablu,Normal|Flying,hp:45|atk:40|def:60|spa:40|spd:75|spe:50
Altaria,Dragon|Flying,hp:75|atk:70|def:90|spa:70|spd:105|spe:80
Zangoose,Normal,hp:73|atk:115|def:60|spa:60|spd:60|spe:90
Seviper,Poison,hp:73|atk:100|def:60|spa:100|spd:60|spe:65
Lunatone,Rock|Psychic,hp:90|atk:55|def:65|spa:95|spd:85|spe:70
Solrock,Rock|Psychic,hp:90|atk:95|def:85|spa:55|spd:65|spe:70
Barboach,Water|Ground,hp:50|atk:48|def:43|spa:46|spd:41|spe:60
Whiscash,Water|Ground,hp:110|atk:78|def:73|spa:76|spd:71|spe:60
Corphish,Water,hp:43|atk:80|def:65|spa:50|spd:35|spe:35
Crawdaunt,Water|Dark,hp:63|atk:120|def:85|spa:90|spd:55|spe:55
Baltoy,Ground|Psychic,hp:40|atk:40|def:55|spa:40|spd:70|spe:55
Claydol,Ground|Psychic,hp:60|atk:70|def:105|spa:70|spd:120|spe:75
Lileep,Rock|Grass,hp:66|atk:41|def:77|spa:61|spd:87|spe:23
Cradily,Rock|Grass,hp:86|atk:81|def:97|spa:81|spd:107|spe:43
Anorith,Rock|Bug,hp:45|atk:95|def:50|spa:40|spd:50|spe:75
Armaldo,Rock|Bug,hp:75|atk:125|def:100|spa:70|spd:80|spe:45
Feebas,Water,hp:20|atk:15|def:20|spa:10|spd:55|spe:80
